id,Prediccion_Modelo
300001,negativo
300002,negativo
300003,positivo
300004,positivo
300005,positivo
300006,positivo
300007,negativo
300008,negativo
300009,positivo
300010,positivo
300011,positivo
300012,negativo
300013,positivo
300014,positivo
300015,positivo
300016,positivo
300017,positivo
300018,negativo
300019,negativo
300020,negativo
300021,negativo
300022,positivo
300023,negativo
300024,negativo
300025,negativo
300026,positivo
300027,negativo
300028,positivo
300029,negativo
300030,negativo
300031,negativo
300032,positivo
300033,negativo
300034,negativo
300035,positivo
300036,negativo
300037,negativo
300038,positivo
300039,negativo
300040,negativo
300041,positivo
300042,negativo
300043,negativo
300044,positivo
300045,positivo
300046,positivo
300047,negativo
300048,negativo
300049,positivo
300050,positivo
300051,negativo
300052,negativo
300053,positivo
300054,negativo
300055,positivo
300056,positivo
300057,positivo
300058,negativo
300059,positivo
300060,positivo
300061,negativo
300062,negativo
300063,positivo
300064,positivo
300065,negativo
300066,negativo
300067,positivo
300068,positivo
300069,negativo
300070,positivo
300071,negativo
300072,positivo
300073,negativo
300074,negativo
300075,positivo
300076,negativo
300077,positivo
300078,positivo
300079,positivo
300080,negativo
300081,positivo
300082,negativo
300083,negativo
300084,negativo
300085,negativo
300086,negativo
300087,negativo
300088,positivo
300089,positivo
300090,positivo
300091,positivo
300092,negativo
300093,positivo
300094,negativo
300095,negativo
300096,positivo
300097,positivo
300098,positivo
300099,positivo
300100,positivo
